EmailAddress,Password,FirstName,LastName,MI,Address,City,State,ZipCode,Phone,DOB
cbaker@freezing.co.uk,gazing,Christopher,Baker,L,1245 Lake Austin Blvd.,Austin,TX,78733,5125571146,2/7/1991
mb@aool.com,banquet,Michelle,Banks,,1300 Tall Pine Lane,San Antonio,TX,78261,2102678873,6/23/1990
fd@aool.com,666666,Franco,Broccolo,V,62 Browning Rd,Houston,TX,77019,8175659699,5/6/1986
wendy@ggmail.com,clover,Wendy,Chang,L,202 Bellmont Hall,Austin,TX,78713,5125943222,12/21/1964
limchou@yaho.com,austin,Lim,Chou,,1600 Teresa Lane,San Antonio,TX,78266,2107724599,6/14/1950
Dixon@aool.com,mailbox,Shan,Dixon,D,234 Holston Circle,Dallas,TX,75208,2142643255,5/9/1930
louann@ggmail.com,aggies,Lou Ann,Feeley,K,600 S 8th Street W,Houston,TX,77010,8172556749,2/24/1930
tfreeley@minntonka.ci.state.mn.us,raiders,Tesa,Freeley,P,4448 Fairview Ave.,Houston,TX,77009,8173255687,9/1/1935
mgar@aool.com,mustangs,Margaret,Garcia,L,594 Longview,Houston,TX,77003,8176593544,7/3/1990
chaley@thug.com,region,Charles,Haley,E,One Cowboy Pkwy,Dallas,TX,75261,2148475583,9/17/1985
jeff@ggmail.com,hungry,Jeffrey,Hampton,T,337 38th St.,Austin,TX,78705,5126978613,1/23/1995
wjhearniii@umch.edu,logicon,John,Hearn,B,4225 North First,Dallas,TX,75237,2148965621,1/8/1994
hicks43@ggmail.com,doofus,Anthony,Hicks,J,"32 NE Garden Ln., Ste 910",San Antonio,TX,78239,2105788965,10/6/1990
bradsingram@mall.utexas.edu,mother,Brad,Ingram,S,6548 La Posada Ct.,Austin,TX,78736,5124678821,4/12/1984
mother.Ingram@aool.com,whimsical,Todd,Jacobs,L,4564 Elm St.,Austin,TX,78731,5124653365,4/4/1983
victoria@aool.com,nothing,Victoria,Lawrence,M,6639 Butterfly Ln.,Austin,TX,78761,5129457399,2/3/1961
lineback@flush.net,GoodFellow,Erik,Lineback,W,1300 Netherland St,San Antonio,TX,78293,2102449976,9/3/1946
